type,opening,middlegame,endgame
blunders,0.36644591611479027,2.637440758293839,1.6208530805687205
mistakes,1.1523178807947019,3.443127962085308,2.6161137440758293
inaccuracies,0.9514348785871964,2.1113744075829386,2.0995260663507107
