Date;Outcome;Full Moves;My Rating;Opponent Rating;Rating Diff;Color;Opening;Time Class
2021-09-04 02:51:40;win;30;773;622;151;white;Pirc Defense Main Line Kholmov System;daily
2021-09-04 20:24:42;loss;40;772;1590;-818;black;Ruy Lopez Opening Morphy Defense Columbus Variation...5.O O b5 6.Bb3 Bc5;daily
2021-09-06 17:44:07;loss;14;795;1590;-795;white;Italian Game Two Knights Modern Bishops Opening 4...h6 5.Nc3;daily
2021-09-09 00:40:08;loss;31;794;1590;-796;black;Four Knights Game Spanish Variation Classical Variation;daily
2021-09-10 23:23:57;loss;20;752;685;67;black;Center Game;daily
2021-09-11 22:38:46;win;11;791;858;-67;black;Bishops Opening Berlin Defense 3.d3;daily
2021-09-12 23:42:49;loss;36;790;1589;-799;white;Nimzowitsch Defense;daily
2021-09-15 02:59:20;loss;26;789;1589;-800;black;Queens Gambit Declined 3.e3;daily
2021-09-18 01:57:47;win;44;829;944;-115;black;Petrovs Defense Classical Variation;daily
2021-09-21 03:09:19;win;34;846;694;152;white;Philidor Defense 3.Bc4;daily
2021-09-24 02:14:55;win;14;863;725;138;black;Italian Game Two Knights Defense 4.O O;daily
2021-09-24 13:20:54;win;64;911;1570;-659;white;Italian Game Knight Attack Normal Variation 5.exd5;daily
2021-09-28 01:44:09;loss;32;910;1571;-661;black;Giuoco Piano Game Four Knights Game;daily
2021-10-02 16:28:32;draw;30;459;243;216;black;Queens Pawn Opening 1...d5 2.g3;rapid
2021-10-05 01:02:09;loss;22;909;1579;-670;white;Italian Game Two Knights Modern Bishops Opening 4...h6 5.Nc3;daily
2021-10-07 12:45:32;loss;45;901;1209;-308;black;Bishops Opening Berlin Defense 3.d3 Bc5;daily
2021-10-09 22:00:51;loss;25;900;1593;-693;black;Pirc Defense Modern Defense Geller System 2...Nf6 3.Nc3 e5 4.Bc4;daily
2021-10-15 17:21:25;loss;26;899;1602;-703;white;French Defense;daily
2021-10-18 19:16:57;win;46;939;1179;-240;white;French Defense Advance Extended Bishop Swap Variation;daily
2021-10-20 23:53:00;loss;30;938;1632;-694;black;Queens Gambit Declined Queens Knight Variation 3...Nf6 4.e3;daily
2021-10-21 23:22:42;draw;48;938;931;7;white;Reti Opening Queenside Fianchetto Variation 2.e4 Bb7 3.Nc3;daily
2021-10-27 15:50:08;loss;22;937;1632;-695;white;French Defense Normal Variation 2...d5;daily
2021-10-29 12:11:50;win;40;951;804;147;white;French Defense Knight Variation 2...d5 3.e5;daily
2021-10-30 02:32:15;win;43;982;1151;-169;black;Center Game;daily
2021-11-01 00:24:10;loss;29;981;1633;-652;black;Ruy Lopez Opening Morphy Defense Tarrasch Variation 5...b5 6.Bb3;daily
2021-11-03 15:40:45;loss;27;970;1161;-191;white;Philidor Defense 3.Nc3;daily
2021-11-09 22:32:58;loss;19;946;897;49;black;Colle System;daily
2021-11-13 05:57:00;loss;33;945;1641;-696;white;Sicilian Defense;daily
2021-11-17 13:55:13;loss;35;945;1170;-225;black;Petrovs Defense Classical Variation;daily
2021-12-02 08:03:33;loss;25;938;1215;-277;white;Kings Pawn Opening Kings Knight Variation;daily
2021-12-02 13:31:01;loss;34;937;1642;-705;black;Queens Gambit Declined 3.e3;daily
2021-12-03 23:50:54;win;45;963;1084;-121;white;Nimzowitsch Defense 2.d4 e6 3.Nf3;daily
2021-12-08 21:51:05;loss;13;962;1648;-686;white;Caro Kann Defense;daily
2021-12-14 00:24:37;loss;19;961;1656;-695;black;Slav Defense 3.e3 Nf6 4.Nc3;daily
2021-12-14 15:20:03;win;12;973;823;150;white;Petrovs Defense 3.d3 Nc6 4.c3;daily
2021-12-20 14:09:43;loss;34;965;1196;-231;black;Colle System 3...e6;daily
2021-12-21 13:07:18;win;26;973;735;238;white;Giuoco Piano Game 4.O O d6;daily
2021-12-24 21:34:00;loss;15;972;1657;-685;white;Sicilian Defense Old Sicilian Variation 3.Bc4 e6;daily
2022-01-06 14:22:37;loss;21;971;1679;-708;black;Ruy Lopez Opening Morphy Defense Caro Variation 5.Bb3;daily
2022-01-10 21:07:16;loss;29;952;959;-7;black;Petrovs Defense Three Knights Game;daily
2022-01-17 20:16:10;loss;17;951;1670;-719;white;Italian Game Two Knights Modern Bishops Opening 4...h6 5.O O;daily
2022-01-25 15:46:39;loss;53;944;1213;-269;white;French Defense Knight Variation 2...d5 3.e5;daily
2022-02-18 17:43:00;loss;22;944;1724;-780;black;Ruy Lopez Opening Morphy Defense Columbus Variation...5.O O b5 6.Bb3 Bc5 7.Nc3;daily
